Feature_type,Target,Edge,Node_weights,Input_Graph_nodes,Input_Graph_edges,Input_graph_posedge_per,Output_Graph_nodes,Output_Graph_edges,Output_graph_posedge_per,Features_preserved_per,ROI_strl_thresh,Classifier,Choice,Feature Selection,Percentage,Refit Metric,train_balanced_accuracy,train_accuracy,train_f1_weighted,train_roc_auc_ovr_weighted,test_balanced_accuracy,test_accuracy,test_f1_weighted,test_roc_auc_ovr_weighted
mean_FA,Agreeableness,pearson,-0.01,84,837,100,30,242,100,6.779,0.005,SVC,test throw median,solver,6.779,balanced_accuracy,100,100,100,100,56.034,57.143,48.78,52.759
mean_strl,Conscientiousness,pearson,-0.01,84,841,100,30,241,100,6.751,0.005,SVC,test throw median,solver,6.751,balanced_accuracy,98.176,98.182,98.077,99.867,50,46.939,38.095,49.49
mean_strl,Conscientiousness,pearson,-0.01,84,808,100,30,240,100,6.723,0.006,SVC,test throw median,solver,6.359,balanced_accuracy,99.138,99.091,99.048,99.934,47.857,46.939,35,47.959
mean_FA,Agreeableness,pearson,-0.01,84,806,100,30,239,100,6.695,0.006,SVC,test throw median,solver,6.723,balanced_accuracy,98.98,99.16,98.969,98.659,36.034,40.816,12.121,38.966
num_streamlines,Agreeableness,pearson,-0.01,84,1624,100,25,238,100,6.667,0.001,SVC,test throw median,solver,6.667,balanced_accuracy,70.306,72.269,63.736,17.201,50.431,55.102,31.25,56.552
mean_strl,Agreeableness,pearson,-0.01,84,809,100,30,237,100,6.639,0.006,SVC,test throw median,solver,6.723,balanced_accuracy,98.98,99.16,98.969,98.659,36.034,40.816,12.121,38.966
mean_FA,Extraversion,pearson,-0.01,84,811,100,30,236,100,6.611,0.006,SVC,test throw median,solver,6.527,balanced_accuracy,97.388,97.458,97.248,99.769,56.091,55.319,51.163,51.273
mean_FA,Conscientiousness,pearson,-0.01,84,840,100,30,235,100,6.583,0.005,SVC,test throw median,solver,6.583,balanced_accuracy,99.138,99.091,99.048,100,35,34.694,23.81,37.143
mean_strl,Extraversion,pearson,-0.01,84,806,100,30,234,100,6.555,0.006,SVC,test throw median,solver,6.499,balanced_accuracy,97.388,97.458,97.248,99.769,56.091,55.319,51.163,51.182
num_streamlines,Agreeableness,pearson,-0.01,84,809,100,30,231,100,6.471,0.006,SVC,test throw median,solver,5.938,balanced_accuracy,98.265,98.319,97.959,99.913,56.034,57.143,48.78,55
num_streamlines,Neuroticism,pearson,-0.01,84,811,100,30,230,100,6.443,0.006,SVC,test throw median,solver,6.303,balanced_accuracy,100,100,100,100,51.338,51.02,50,49.331
mean_FA,Conscientiousness,pearson,-0.01,84,807,100,30,226,100,6.331,0.006,SVC,test throw median,solver,6.359,balanced_accuracy,99.138,99.091,99.048,99.934,47.857,46.939,35,47.959
mean_FA,Neuroticism,pearson,-0.01,84,838,100,30,225,100,6.303,0.005,SVC,test throw median,solver,6.303,balanced_accuracy,64.091,63.559,63.866,35.388,57.107,57.143,58.824,41.973
mean_FA,Openness,pearson,-0.01,84,841,100,30,223,100,6.246,0.005,SVC,test throw median,solver,6.246,balanced_accuracy,64.903,66.071,58.696,71.226,52.64,50.98,44.444,51.553
mean_FA,Neuroticism,pearson,-0.01,84,810,100,30,220,100,6.162,0.006,SVC,test throw median,solver,6.583,balanced_accuracy,60.532,60.169,59.829,66.233,59.783,59.184,56.522,59.365
mean_FA,Openness,pearson,-0.01,84,808,100,30,212,100,5.938,0.006,SVC,test throw median,solver,6.246,balanced_accuracy,75.355,76.786,70.455,85.097,47.283,45.098,33.333,52.64
mean_strl,Neuroticism,pearson,-0.01,84,812,100,30,209,100,5.854,0.006,SVC,test throw median,solver,6.583,balanced_accuracy,60.532,60.169,59.829,66.233,59.783,59.184,56.522,59.365
mean_strl,Neuroticism,pearson,-0.01,84,617,100,30,206,100,5.77,0.01,SVC,test throw median,solver,5.77,balanced_accuracy,66.811,65.254,69.173,30.816,57.776,59.184,67.742,41.722
num_streamlines,Conscientiousness,pearson,-0.01,84,614,100,30,200,100,5.602,0.01,SVC,test throw median,solver,5.602,balanced_accuracy,100,100,100,0,45,48.98,28.571,60.408
mean_strl,Agreeableness,pearson,-0.01,84,840,100,25,199,100,5.574,0.005,SVC,test throw median,solver,5.574,balanced_accuracy,95.51,95.798,94.845,99.621,60.259,61.224,53.659,56.897
mean_FA,Agreeableness,pearson,-0.01,84,608,100,30,198,100,5.546,0.01,SVC,test throw median,solver,5.546,balanced_accuracy,100,100,100,0,40.259,44.898,18.182,61.724
mean_FA,Neuroticism,pearson,-0.01,84,614,100,30,196,100,5.49,0.01,SVC,test throw median,solver,5.49,balanced_accuracy,66.088,65.254,66.667,35.012,56.355,57.143,63.158,43.813
mean_strl,Conscientiousness,pearson,-0.01,84,613,100,30,195,100,5.462,0.01,SVC,test throw median,solver,5.462,balanced_accuracy,58.057,58.182,55.769,54.924,48.571,51.02,33.333,49.796
mean_strl,Conscientiousness,pearson,-0.01,84,841,100,25,194,100,5.434,0.005,SVC,test throw median,solver,5.434,balanced_accuracy,100,100,100,100,60,55.102,47.619,64.49
mean_strl,Agreeableness,pearson,-0.01,84,612,100,30,193,100,5.406,0.01,SVC,test throw median,solver,5.406,balanced_accuracy,100,100,100,100,59.31,59.184,54.545,65.69
mean_strl,Extraversion,pearson,-0.01,84,837,100,25,192,100,5.378,0.005,SVC,test throw median,solver,5.378,balanced_accuracy,62.424,62.712,59.259,63.636,49.273,48.936,47.826,46.545
mean_FA,Extraversion,pearson,-0.01,84,842,100,25,191,100,5.35,0.005,SVC,test throw median,solver,5.35,balanced_accuracy,58.571,58.475,57.391,37.864,44.182,44.681,50,56.909
mean_FA,Openness,pearson,-0.01,84,841,100,25,190,100,5.322,0.005,SVC,test throw median,solver,5.322,balanced_accuracy,64.71,66.071,57.778,71.774,56.211,54.902,51.064,54.27
mean_strl,Extraversion,pearson,-0.01,84,605,100,30,189,100,5.294,0.01,SVC,test throw median,solver,5.294,balanced_accuracy,61.861,61.864,60.177,36.941,45,44.681,43.478,50.455
mean_FA,Openness,pearson,-0.01,84,808,100,25,188,100,5.266,0.006,SVC,test throw median,solver,5.182,balanced_accuracy,77.323,77.679,74.747,83.387,49.301,49.02,50,52.329
mean_strl,Openness,pearson,-0.01,84,841,100,25,186,100,5.21,0.005,SVC,test throw median,solver,5.21,balanced_accuracy,66.935,68.75,58.824,72.387,50.854,49.02,40.909,54.969
mean_FA,Extraversion,pearson,-0.01,84,811,100,25,185,100,5.182,0.006,SVC,test throw median,solver,5.378,balanced_accuracy,59.25,59.322,57.143,63.636,42.455,42.553,44.898,48.364
mean_strl,Extraversion,pearson,-0.01,84,806,100,25,184,100,5.154,0.006,SVC,test throw median,solver,5.378,balanced_accuracy,59.25,59.322,57.143,63.636,42.455,42.553,44.898,48.364
num_streamlines,Openness,pearson,-0.01,84,805,100,25,182,100,5.098,0.006,SVC,test throw median,solver,5.098,balanced_accuracy,100,100,100,100,51.475,50.98,50.98,49.224
mean_strl,Openness,pearson,-0.01,84,808,100,25,181,100,5.07,0.006,SVC,test throw median,solver,5.182,balanced_accuracy,77.323,77.679,74.747,83.419,49.301,49.02,50,52.329
num_streamlines,Openness,pearson,-0.01,84,609,100,30,180,100,5.042,0.01,SVC,test throw median,solver,5.042,balanced_accuracy,50,44.643,61.728,0.29,50,54.902,70.886,49.845
mean_FA,Agreeableness,pearson,-0.01,84,837,100,25,179,100,5.014,0.005,SVC,test throw median,solver,5.014,balanced_accuracy,100,100,100,0,53.534,55.102,45,49.138
num_streamlines,Agreeableness,pearson,-0.01,84,809,100,25,178,100,4.986,0.006,SVC,test throw median,solver,4.51,balanced_accuracy,94.388,94.118,93.069,97.449,52.586,53.061,46.512,51.897
mean_strl,Openness,pearson,-0.01,84,1631,100,20,177,100,4.958,0.001,SVC,test throw median,solver,4.958,balanced_accuracy,92.581,92.857,91.837,89.71,51.863,50.98,48.98,48.68
mean_FA,Neuroticism,pearson,-0.01,84,838,100,25,175,100,4.902,0.005,SVC,test throw median,solver,4.902,balanced_accuracy,62.963,61.864,64.567,67.969,50.334,51.02,57.143,57.943
mean_FA,Neuroticism,pearson,-0.01,84,1631,100,20,174,100,4.874,0.001,SVC,test throw median,solver,4.874,balanced_accuracy,58.044,57.627,57.627,64.742,55.184,55.102,56,55.184
mean_FA,Neuroticism,pearson,-0.01,84,810,100,25,173,100,4.846,0.006,SVC,test throw median,solver,5.154,balanced_accuracy,60.041,59.322,60.656,37.413,53.01,53.061,54.902,42.642
mean_FA,Openness,pearson,-0.01,84,611,100,30,172,100,4.818,0.01,SVC,test throw median,solver,4.818,balanced_accuracy,63.29,64.286,57.447,71.581,46.118,45.098,41.667,51.63
num_streamlines,Conscientiousness,pearson,-0.01,84,1641,100,20,171,100,4.79,0.001,SVC,test throw median,solver,4.79,balanced_accuracy,100,100,100,100,50,53.061,34.286,49.592
mean_FA,Openness,pearson,-0.01,84,1634,100,20,170,100,4.762,0.001,SVC,test throw median,solver,4.762,balanced_accuracy,64.097,65.179,58.065,70.065,56.211,54.902,51.064,52.95
mean_FA,Agreeableness,pearson,-0.01,84,806,100,25,169,100,4.734,0.006,SVC,test throw median,solver,4.986,balanced_accuracy,100,100,100,100,46.81,48.98,35.897,53.103
mean_FA,Conscientiousness,pearson,-0.01,84,807,100,25,167,100,4.678,0.006,SVC,test throw median,solver,4.762,balanced_accuracy,89.821,90,89.109,91.578,55,57.143,40,56.327
num_streamlines,Agreeableness,pearson,-0.01,84,840,100,25,165,100,4.622,0.005,SVC,test throw median,solver,4.622,balanced_accuracy,98.98,99.16,98.969,99.913,54.31,55.102,47.619,51.207
mean_FA,Agreeableness,pearson,-0.01,84,1629,100,20,164,100,4.594,0.001,SVC,test throw median,solver,4.594,balanced_accuracy,50.51,52.941,39.13,48.134,36.466,36.735,31.111,35.259
num_streamlines,Agreeableness,pearson,-0.01,84,1624,100,20,161,100,4.51,0.001,SVC,test throw median,solver,4.51,balanced_accuracy,98.98,99.16,98.969,98.163,42.759,46.939,23.529,46.034
mean_FA,Conscientiousness,pearson,-0.01,84,613,100,25,159,100,4.454,0.01,SVC,test throw median,solver,4.454,balanced_accuracy,62.865,62.727,62.385,58.82,37.857,38.776,25,41.837
num_streamlines,Neuroticism,pearson,-0.01,84,616,100,25,157,100,4.398,0.01,SVC,test throw median,solver,4.398,balanced_accuracy,95.023,94.915,94.545,98.38,45.569,44.898,40,45.569
num_streamlines,Conscientiousness,pearson,-0.01,84,614,100,25,156,100,4.37,0.01,SVC,test throw median,solver,4.37,balanced_accuracy,100,100,100,0,52.143,53.061,37.838,49.796
mean_strl,Agreeableness,pearson,-0.01,84,612,100,25,155,100,4.342,0.01,SVC,test throw median,solver,4.342,balanced_accuracy,90.51,89.916,88.462,4.023,50.086,51.02,42.857,41.379
mean_FA,Extraversion,pearson,-0.01,84,610,100,25,154,100,4.314,0.01,SVC,test throw median,solver,4.314,balanced_accuracy,60.837,61.017,58.182,64.791,43,42.553,40,46.545
mean_FA,Conscientiousness,pearson,-0.01,84,1633,100,20,152,100,4.258,0.001,SVC,test throw median,solver,4.258,balanced_accuracy,86.074,86.364,84.848,92.341,51.429,55.102,35.294,49.796
mean_strl,Extraversion,pearson,-0.01,84,605,100,25,151,100,4.23,0.01,SVC,test throw median,solver,4.23,balanced_accuracy,100,100,100,100,51.545,51.064,48.889,53.182
mean_strl,Conscientiousness,pearson,-0.01,84,613,100,25,149,100,4.174,0.01,SVC,test throw median,solver,4.174,balanced_accuracy,83.687,83.636,83.019,84.98,55,57.143,40,56.939
num_streamlines,Extraversion,pearson,-0.01,84,840,100,20,148,100,4.146,0.005,SVC,test throw median,solver,4.146,balanced_accuracy,61.631,61.864,58.716,55.007,40.182,40.426,44,43.545
mean_FA,Agreeableness,pearson,-0.01,84,608,100,25,147,100,4.118,0.01,SVC,test throw median,solver,4.118,balanced_accuracy,100,100,100,100,44.31,46.939,31.579,42.069
num_streamlines,Openness,pearson,-0.01,84,609,100,25,146,100,4.09,0.01,SVC,test throw median,solver,4.09,balanced_accuracy,69.258,68.75,67.89,59.677,54.27,54.902,59.649,50
mean_strl,Agreeableness,pearson,-0.01,84,840,100,20,145,100,4.062,0.005,SVC,test throw median,solver,4.062,balanced_accuracy,94.184,94.958,93.617,98.513,60.259,61.224,53.659,54.655
num_streamlines,Conscientiousness,pearson,-0.01,84,843,100,20,144,100,4.034,0.005,SVC,test throw median,solver,4.034,balanced_accuracy,60.842,60.909,59.048,54.675,42.143,44.898,27.027,36.939
mean_strl,Extraversion,pearson,-0.01,84,837,100,20,143,100,4.006,0.005,SVC,test throw median,solver,4.006,balanced_accuracy,64.805,65.254,60.952,65.657,40.727,40.426,39.13,43.091
num_streamlines,Neuroticism,pearson,-0.01,84,811,100,20,141,100,3.95,0.006,SVC,test throw median,solver,3.754,balanced_accuracy,70.052,70.339,67.29,63.368,53.763,53.061,48.889,54.181
mean_FA,Agreeableness,pearson,-0.01,84,837,100,20,140,100,3.922,0.005,SVC,test throw median,solver,3.922,balanced_accuracy,58.265,63.866,37.681,36.064,50.603,57.143,22.222,46.207
mean_FA,Agreeableness,pearson,-0.01,84,806,100,20,139,100,3.894,0.006,SVC,test throw median,solver,3.725,balanced_accuracy,83.673,84.034,80.808,84.344,44.138,44.898,37.209,43.103
mean_strl,Neuroticism,pearson,-0.01,84,812,100,20,137,100,3.838,0.006,SVC,test throw median,solver,3.838,balanced_accuracy,59.115,58.475,59.504,65.046,53.01,53.061,54.902,57.692
mean_FA,Openness,pearson,-0.01,84,808,100,20,136,100,3.81,0.006,SVC,test throw median,solver,3.922,balanced_accuracy,62.29,63.393,55.914,65.871,48.292,47.059,42.553,46.429
mean_FA,Conscientiousness,pearson,-0.01,84,840,100,20,135,100,3.782,0.005,SVC,test throw median,solver,3.782,balanced_accuracy,86.174,86.364,85.149,89.456,47.857,53.061,30.303,54.49
mean_FA,Neuroticism,pearson,-0.01,84,838,100,20,134,100,3.754,0.005,SVC,test throw median,solver,3.754,balanced_accuracy,60.966,60.169,61.789,65.205,52.759,53.061,56.604,58.027
mean_FA,Neuroticism,pearson,-0.01,84,810,100,20,133,100,3.725,0.006,SVC,test throw median,solver,3.838,balanced_accuracy,59.115,58.475,59.504,34.954,53.01,53.061,54.902,42.057
mean_strl,Openness,pearson,-0.01,84,808,100,20,132,100,3.697,0.006,SVC,test throw median,solver,3.922,balanced_accuracy,62.29,63.393,55.914,65.887,48.292,47.059,42.553,46.584
mean_FA,Extraversion,pearson,-0.01,84,842,100,20,129,100,3.613,0.005,SVC,test throw median,solver,3.613,balanced_accuracy,66.97,66.949,65.487,68.254,42.727,42.553,42.553,42.545
mean_FA,Conscientiousness,pearson,-0.01,84,807,100,20,127,100,3.557,0.006,SVC,test throw median,solver,3.585,balanced_accuracy,87.135,87.273,86.275,89.755,53.571,55.102,38.889,54.898
mean_FA,Extraversion,pearson,-0.01,84,811,100,20,126,100,3.529,0.006,SVC,test throw median,solver,3.557,balanced_accuracy,68.788,68.644,67.826,68.499,45,44.681,43.478,43.818
num_streamlines,Agreeableness,pearson,-0.01,84,809,100,20,125,100,3.501,0.006,SVC,test throw median,solver,3.361,balanced_accuracy,81.122,80.672,78.095,91.837,42.586,44.898,30.769,42.931
num_streamlines,Openness,pearson,-0.01,84,838,100,20,123,100,3.445,0.005,SVC,test throw median,solver,3.445,balanced_accuracy,99.194,99.107,99.01,100,54.037,52.941,50,52.795
mean_FA,Neuroticism,pearson,-0.01,84,614,100,20,121,100,3.389,0.01,SVC,test throw median,solver,3.389,balanced_accuracy,66.233,65.254,67.2,64.265,58.528,59.184,64.286,58.027
num_streamlines,Neuroticism,pearson,-0.01,84,616,100,20,118,100,3.305,0.01,SVC,test throw median,solver,3.305,balanced_accuracy,97.512,97.458,97.248,99.826,55.686,55.102,52.174,50.669
mean_strl,Neuroticism,pearson,-0.01,84,617,100,20,117,100,3.277,0.01,SVC,test throw median,solver,3.277,balanced_accuracy,60.59,61.017,56.604,41.782,45.067,44.898,44.898,48.495
mean_FA,Extraversion,pearson,-0.01,84,610,100,20,116,100,3.249,0.01,SVC,test throw median,solver,3.249,balanced_accuracy,100,100,100,0,48.091,46.809,35.897,42
num_streamlines,Extraversion,pearson,-0.01,84,608,100,20,114,100,3.193,0.01,SVC,test throw median,solver,3.193,balanced_accuracy,50,53.39,0,21.76,50,46.809,0,63.909
mean_FA,Openness,pearson,-0.01,84,611,100,20,112,100,3.137,0.01,SVC,test throw median,solver,3.137,balanced_accuracy,63.29,64.286,57.447,69.742,50.466,49.02,43.478,52.64
mean_FA,Agreeableness,pearson,-0.01,84,608,100,20,109,100,3.053,0.01,SVC,test throw median,solver,3.053,balanced_accuracy,100,100,100,100,60.086,59.184,56.522,61.552
num_streamlines,Openness,pearson,-0.01,84,609,100,20,107,100,2.997,0.01,SVC,test throw median,solver,2.997,balanced_accuracy,86.323,85.714,85.185,94.613,50.699,50.98,54.545,53.727
num_streamlines,Agreeableness,pearson,-0.01,84,610,100,20,104,100,2.913,0.01,SVC,test throw median,solver,2.913,balanced_accuracy,100,100,100,0,42.931,48.98,13.793,58.793
mean_FA,Neuroticism,pearson,-0.01,84,1631,100,15,103,100,2.885,0.001,SVC,test throw median,solver,2.885,balanced_accuracy,71.296,69.492,73.529,76.505,51.505,53.061,63.492,62.876
mean_strl,Agreeableness,pearson,-0.01,84,1630,100,15,102,100,2.857,0.001,SVC,test throw median,solver,2.857,balanced_accuracy,95.408,94.958,94.118,1.429,56.034,57.143,48.78,47.759
mean_strl,Conscientiousness,pearson,-0.01,84,1632,100,15,101,100,2.829,0.001,SVC,test throw median,solver,2.829,balanced_accuracy,85.113,85.455,83.673,81.631,41.429,46.939,23.529,37.755
mean_FA,Extraversion,pearson,-0.01,84,1638,100,15,100,100,2.801,0.001,SVC,test throw median,solver,2.801,balanced_accuracy,98.297,98.305,98.182,99.942,41,40.426,36.364,50.545
num_streamlines,Neuroticism,pearson,-0.01,84,1631,100,15,99,100,2.773,0.001,SVC,test throw median,solver,2.773,balanced_accuracy,93.808,94.068,93.333,98.119,55.184,55.102,56,55.184
mean_FA,Openness,pearson,-0.01,84,1634,100,15,98,100,2.745,0.001,SVC,test throw median,solver,2.745,balanced_accuracy,90.581,91.071,89.583,98.323,48.913,49.02,51.852,50.155
num_streamlines,Openness,pearson,-0.01,84,1633,100,15,97,100,2.717,0.001,SVC,test throw median,solver,2.717,balanced_accuracy,99.194,99.107,99.01,98.613,55.823,54.902,53.061,47.671
mean_FA,Conscientiousness,pearson,-0.01,84,613,100,20,96,100,2.689,0.01,SVC,test throw median,solver,2.689,balanced_accuracy,100,100,100,100,43.571,40.816,32.558,45.612
mean_strl,Agreeableness,pearson,-0.01,84,840,100,15,94,100,2.633,0.005,SVC,test throw median,solver,2.633,balanced_accuracy,94.082,94.118,92.929,0.729,55.259,57.143,46.154,52.241
mean_FA,Agreeableness,pearson,-0.01,84,1629,100,15,93,100,2.605,0.001,SVC,test throw median,solver,2.605,balanced_accuracy,95.408,94.958,94.118,97.697,62.586,61.224,59.574,62.241
num_streamlines,Neuroticism,pearson,-0.01,84,839,100,15,92,100,2.577,0.005,SVC,test throw median,solver,2.577,balanced_accuracy,75.174,75.424,72.897,18.142,47.742,46.939,40.909,56.856
mean_strl,Agreeableness,pearson,-0.01,84,809,100,15,91,100,2.549,0.006,SVC,test throw median,solver,2.269,balanced_accuracy,100,100,100,100,57.586,57.143,53.333,58.966
mean_FA,Neuroticism,pearson,-0.01,84,838,100,15,89,100,2.493,0.005,SVC,test throw median,solver,2.493,balanced_accuracy,100,100,100,0,41.89,42.857,51.724,58.361
mean_FA,Neuroticism,pearson,-0.01,84,810,100,15,88,100,2.465,0.006,SVC,test throw median,solver,2.465,balanced_accuracy,100,100,100,0,45.987,46.939,55.172,53.177
mean_FA,Conscientiousness,pearson,-0.01,84,840,100,15,86,100,2.409,0.005,SVC,test throw median,solver,2.409,balanced_accuracy,92.606,92.727,92.157,97.447,55.714,55.102,42.105,55.612
mean_FA,Openness,pearson,-0.01,84,841,100,15,85,100,2.381,0.005,SVC,test throw median,solver,2.381,balanced_accuracy,63.29,64.286,57.447,68.323,52.252,50.98,46.809,51.398
mean_FA,Extraversion,pearson,-0.01,84,811,100,15,84,100,2.353,0.006,SVC,test throw median,solver,2.437,balanced_accuracy,86.71,87.288,85.149,91.154,50.091,48.936,40,49.818
mean_FA,Agreeableness,pearson,-0.01,84,837,100,15,83,100,2.325,0.005,SVC,test throw median,solver,2.325,balanced_accuracy,100,100,100,0,47.241,44.898,47.059,47.241
mean_FA,Openness,pearson,-0.01,84,808,100,15,82,100,2.297,0.006,SVC,test throw median,solver,2.521,balanced_accuracy,78.968,80.357,75,90.613,54.814,52.941,45.455,59.472
mean_FA,Extraversion,pearson,-0.01,84,610,100,15,81,100,2.269,0.01,SVC,test throw median,solver,2.269,balanced_accuracy,83.42,83.898,81.553,89.351,48.091,46.809,35.897,57.818
num_streamlines,Openness,pearson,-0.01,84,838,100,15,80,100,2.241,0.005,SVC,test throw median,solver,2.241,balanced_accuracy,97.581,97.321,97.087,99.774,62.966,62.745,64.151,59.006
mean_FA,Neuroticism,pearson,-0.01,84,614,100,15,79,100,2.213,0.01,SVC,test throw median,solver,2.213,balanced_accuracy,69.155,67.797,70.769,72.251,50.084,51.02,58.621,57.107
mean_strl,Extraversion,pearson,-0.01,84,605,100,15,77,100,2.157,0.01,SVC,test throw median,solver,2.157,balanced_accuracy,88.081,88.136,87.273,92.785,53.545,53.191,52.174,57.364
mean_FA,Conscientiousness,pearson,-0.01,84,807,100,15,76,100,2.129,0.006,SVC,test throw median,solver,2.241,balanced_accuracy,81.565,81.818,80,93.717,50.714,51.02,36.842,46.939
mean_FA,Agreeableness,pearson,-0.01,84,608,100,15,74,100,2.073,0.01,SVC,test throw median,solver,2.073,balanced_accuracy,94.184,94.958,93.617,96.443,50.086,51.02,42.857,51.724
mean_strl,Neuroticism,pearson,-0.01,84,617,100,15,73,100,2.045,0.01,SVC,test throw median,solver,2.045,balanced_accuracy,82.784,83.051,81.132,89.034,34.448,34.694,38.462,33.779
num_streamlines,Agreeableness,pearson,-0.01,84,809,100,15,72,100,2.017,0.006,SVC,test throw median,solver,2.073,balanced_accuracy,78.98,78.151,75.926,87.201,46.81,48.98,35.897,49.31
mean_FA,Openness,pearson,-0.01,84,611,100,15,70,100,1.961,0.01,SVC,test throw median,solver,1.961,balanced_accuracy,63.29,64.286,57.447,68.129,52.252,50.98,46.809,52.019
